File Path,Error Message,Error Type,Line Number,Code Context
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/issue-card.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api""
---
<h2><span style=""font-size: 20px;"">With the Card API you can o</span><span style=""font-size: 20px;"">ffer your customers two types of cards</span><span style=""font-size: 20px;"">:</span></h2>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/manage-cards.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api""
---
<p><strong>You can manage the issued Paymentology cards and make updates to them whenever necessary. You can also use the API methods below to develop a UI that comes with self-help options that allow the cardholders to manage their cards by themselves.</strong></p>
<p>These are the supported card management options:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/manage-funds.md,Could not parse expression with acorn,mdx-parse-error,9,"<p><strong>Once a cardholder has been issued with a card, they can start to manage the funds associated with their card or pockets.</strong><br />
​<br />
These are the supported options for managing funds:​</p>
<ul>
<li>Loading funds onto the card</li>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reconciliation.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api""
---
<p><strong>Reconciliation is the process of matching transactions reported by Paymentology to the transactions recorded on the client platform to ensure that the amount settled by the card scheme is accurate.</strong></p>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/apple-pay-monthly-declines-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>For clients using Paymentology’s tokenization, Paymentology can issue monthly reports to clients to utilize the report data to compile their Apple report through the Apple Partner Connect platform.</p>
<p>The purpose of the Apple Pay monthly declines report is to provide oversight on Apple Pay transactions that have been declined. It is important to note that failed transactions are NOT considered as declined and therefore not considered for this report.</p>
<p>Declined transactions include those that were declined due to: daily limits exceeded, unable to authorize, no account, card status suspended, over credit line, unavailable funds, invalid PIN, expired card, cardholder authorization file, delinquent account.</p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/apple-pay-monthly-fee-billing-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>For clients using Paymentology’s tokenization, Paymentology can issue monthly reports to clients to utilize the report data to compile their Apple report through the Apple Partner Connect platform.</p>
<p>The Apple Pay monthly fee billing report includes the following details:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/apple-pay-monthly-metric-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>For clients using Paymentology’s tokenization, Paymentology can issue monthly reports to clients to assist in compiling their Apple report through the Apple Partner Connect platform.</p>
<p>The monthly metric report provides clients with a breakdown of POS (Point of Sale), remote (in-App, Apple Pay on the web and eCommerce) and COF (Credential on File) Apple Pay spends for the specified month.</p>
<p>The report includes the following details:</p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/apple-pay-monthly-top-merchant-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p data-renderer-start-pos=""10987"">For clients using Paymentology’s tokenization, Paymentology can issue monthly reports to clients to assist in compiling their Apple report through the Apple Partner Connect platform.</p>
<p data-renderer-start-pos=""10987"">The purpose of this report is for Apple to understand the top 100 Merchants that accept Apple Pay. It’s important to note only approved/settled transactions are reported and Merchants are listed in descending order based on total spend.</p>
<p>The report includes the following details:</p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/apple-pay-monthly-usage-frequency-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>For clients using Paymentology’s tokenization, Paymentology can issue monthly reports to clients to assist in compiling their Apple report through the Apple Partner Connect platform.</p>
<p>This report refers to the number of times a specific account is used to make a transaction in a given month. This includes any type of Apple Pay transaction i.e. POS or eCommerce.</p>
<p>The report includes the following details:</p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/apple-pay-quarterly-fee-billing-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p data-pm-slice=""1 1 []"">For clients using Paymentology’s tokenization, Paymentology can issue a quarterly report to clients to utilize the report data to compile their Apple report through the Apple Partner Connect platform.</p>
<p>The report includes the following details:</p>
<ul>"
