source_page,original_url,rewritten_url,status
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/statement/,/api-reference/card-api/statement,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/stopcard/,/api-reference/card-api/stopcard,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/stoptoken/,/api-reference/card-api/stoptoken,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/threedsauthenticationoutcome/,/api-reference/card-api/threedsauthenticationoutcome,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/tokenapprovedevicebinding-2/,/api-reference/card-api/tokenapprovedevicebinding-2,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/tokenremovedevicebinding/,/api-reference/card-api/tokenremovedevicebinding,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/transferfunds/,/api-reference/card-api/transferfunds,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/transferfundsreverse/,/api-reference/card-api/transferfundsreverse,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/unstopcard/,/api-reference/card-api/unstopcard,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/unstoptoken/,/api-reference/card-api/unstoptoken,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/updatecardexpirydate/,/api-reference/card-api/updatecardexpirydate,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/updatecardlabel/,/api-reference/card-api/updatecardlabel,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/updatecvv/,/api-reference/card-api/updatecvv,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/card-api/api-reference/updatetokenaccount/,/api-reference/card-api/updatetokenaccount,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/,https://developer.sprint.paymentology.com/generatetimebasedsecret/,/guides/generatetimebasedsecret,rewritten
