wp_id,wp_title,wp_url,wp_slug,wp_status,matched_path,match_kind,match_confidence,migration_status,review_risk,notes
3550,3D Secure - Out of band Authentication,https://developer.sprint.paymentology.com/3d-secure-out-of-band/,3d-secure-out-of-band,publish,docs/documentation/3d-secure-out-of-band.md,url_leaf,0.85,matched,medium,
3581,Activate,https://developer.sprint.paymentology.com/profile-api-reference/activate/,activate,publish,docs/profile-api-reference/activate.md,url_path,1.0,matched,high,
3584,ActivateToken,https://developer.sprint.paymentology.com/profile-api-reference/activatetoken/,activatetoken,publish,docs/card-api/api-reference-card/activatetoken.md,url_leaf,0.85,matched,,
4350,ActivateToken,https://developer.sprint.paymentology.com/card-api/api-reference/activatetoken/,activatetoken,publish,docs/card-api/api-reference-card/activatetoken.md,url_leaf,0.85,matched,,
4660,AllocateIBAN,https://developer.sprint.paymentology.com/profile-api-reference/allocateiban/,allocateiban,publish,docs/profile-api-reference/allocateiban.md,url_path,1.0,matched,high,
313,API Reference Sample,https://developer.sprint.paymentology.com/api-reference-sample/,api-reference-sample,publish,docs/documentation/api-reference-sample.md,title,0.75,needs-review,,
5116,Ask AI,https://developer.sprint.paymentology.com/get-started/ask-ai/,ask-ai,publish,docs/Getting Started/ask-ai.md,title,0.75,needs-review,,
3742,Authorisation income report,https://developer.sprint.paymentology.com/companion-api/reports/authorisation-income-report/,authorisation-income-report,publish,docs/card-api/reports/authorisation-income-report.md,url_leaf,0.85,matched,high,
4009,Authorisation income report,https://developer.sprint.paymentology.com/card-api/reports/authorisation-income-report/,authorisation-income-report,publish,docs/card-api/reports/authorisation-income-report.md,url_path,1.0,matched,high,
3034,Balance,https://developer.sprint.paymentology.com/profile-api-reference/balance/,balance,publish,docs/companion-api/api-reference-companion/remote/balance.md,url_leaf,0.85,matched,,
4402,Blocked transactions report,https://developer.sprint.paymentology.com/card-api/reports/blocked-transactions-report/,blocked-transactions-report,publish,docs/card-api/reports/blocked-transactions-report.md,url_path,1.0,matched,high,
4411,Blocked transactions report,https://developer.sprint.paymentology.com/companion-api/reports/blocked-transactions-report/,blocked-transactions-report,publish,docs/card-api/reports/blocked-transactions-report.md,url_leaf,0.85,matched,high,
3623,CalculateTAV,https://developer.sprint.paymentology.com/card-api/api-reference/calculatetav/,calculatetav,publish,docs/card-api/api-reference-card/calculatetav.md,url_leaf,0.85,matched,,
3627,CalculateTAV,https://developer.sprint.paymentology.com/profile-api-reference/calculatetav-2/,calculatetav-2,publish,docs/profile-api-reference/calculatetav-2.md,url_path,1.0,matched,high,
4696,CancelScheduledStop,https://developer.sprint.paymentology.com/profile-api-reference/cancelscheduledstop/,cancelscheduledstop,publish,docs/profile-api-reference/cancelscheduledstop.md,url_path,1.0,matched,high,
3310,CancelStopCard,https://developer.sprint.paymentology.com/profile-api-reference/cancelstopcard/,cancelstopcard,publish,docs/profile-api-reference/cancelstopcard.md,url_path,1.0,matched,high,
16,Card API,https://developer.sprint.paymentology.com/card-api/,card-api,publish,,,0.0,missing,high,"No ReadMe candidate matched URL path, slug, filename, or title."
3736,Card balance report,https://developer.sprint.paymentology.com/card-api/reports/card-balance-report/,card-balance-report,publish,docs/card-api/reports/card-balance-report.md,url_path,1.0,matched,,
4021,Card balance report,https://developer.sprint.paymentology.com/companion-api/reports/card-balance-report/,card-balance-report,publish,docs/card-api/reports/card-balance-report.md,url_leaf,0.85,matched,,
3304,CardDetail,https://developer.sprint.paymentology.com/profile-api-reference/carddetail/,carddetail,publish,docs/card-api/api-reference-card/carddetail.md,url_leaf,0.85,matched,,
2423,ChangePin,https://developer.sprint.paymentology.com/profile-api-reference/changepin/,changepin,publish,docs/card-api/api-reference-card/changepin.md,url_leaf,0.85,matched,,
2905,Chargeback API,https://developer.sprint.paymentology.com/chargeback-api/,chargeback-api,publish,,,0.0,missing,high,"No ReadMe candidate matched URL path, slug, filename, or title."
4193,Chargeback reason codes,https://developer.sprint.paymentology.com/chargeback-api/chargeback-reason-codes/,chargeback-reason-codes,publish,docs/chargeback-api/chargeback-reason-codes.md,url_path,1.0,matched,high,
4718,CheckAuthorisation,https://developer.sprint.paymentology.com/profile-api-reference/checkauthorisation/,checkauthorisation,publish,docs/profile-api-reference/checkauthorisation.md,url_path,1.0,matched,high,
4710,CheckLoad,https://developer.sprint.paymentology.com/profile-api-reference/checkload/,checkload,publish,docs/profile-api-reference/checkload.md,url_path,1.0,matched,high,
14,Companion API,https://developer.sprint.paymentology.com/companion-api/,companion-api,publish,,,0.0,missing,high,"No ReadMe candidate matched URL path, slug, filename, or title."
4246,Connectivity,https://developer.sprint.paymentology.com/chargeback-api/connectivity/,connectivity,publish,docs/chargeback-api/connectivity.md,url_path,1.0,matched,high,
498,Contact us,https://developer.sprint.paymentology.com/contact-us/,contact-us,publish,docs/documentation/contact-us.md,title,0.75,needs-review,medium,
4970,CreateLinkedCardMaskedResponse,https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/createlinkedcardmaskedresponse/,createlinkedcardmaskedresponse,publish,docs/companion-api/api-reference-companion/local-api/createlinkedcardmaskedresponse.md,title,0.75,needs-review,,
4704,CreateScheduledStop,https://developer.sprint.paymentology.com/profile-api-reference/createscheduledstop/,createscheduledstop,publish,docs/profile-api-reference/createscheduledstop.md,url_path,1.0,matched,high,
3302,CreateVirtualCard,https://developer.sprint.paymentology.com/profile-api-reference/createvirtualcard/,createvirtualcard,publish,docs/card-api/api-reference-card/createvirtualcard.md,url_leaf,0.85,matched,,
5023,Daily negative balance report,https://developer.sprint.paymentology.com/companion-api/reports/daily-negative-balance-report/,daily-negative-balance-report,publish,docs/card-api/reports/daily-negative-balance-report.md,url_leaf,0.85,matched,high,
5092,Daily negative balance report,https://developer.sprint.paymentology.com/card-api/reports/daily-negative-balance-report/,daily-negative-balance-report,publish,docs/card-api/reports/daily-negative-balance-report.md,url_path,1.0,matched,high,
4416,Daily sales and redemption report,https://developer.sprint.paymentology.com/card-api/reports/daily-sales-and-redemption-report/,daily-sales-and-redemption-report,publish,docs/card-api/reports/daily-sales-and-redemption-report.md,url_path,1.0,matched,,
4430,Daily sales and redemption report,https://developer.sprint.paymentology.com/companion-api/reports/daily-sales-and-redemption-report/,daily-sales-and-redemption-report,publish,docs/card-api/reports/daily-sales-and-redemption-report.md,url_leaf,0.85,matched,,
4105,Daily statement report,https://developer.sprint.paymentology.com/card-api/reports/daily-statement-report/,daily-statement-report,publish,docs/card-api/reports/daily-statement-report.md,url_path,1.0,matched,,
4116,Daily statement report,https://developer.sprint.paymentology.com/companion-api/reports/daily-statement-report/,daily-statement-report,publish,docs/card-api/reports/daily-statement-report.md,url_leaf,0.85,matched,,
